# stage|unit|primary grammar|secondary grammar / discourse|correct illustration|diagnostic error|repair explanation
1|1|Subject + present-tense verb + object with I/you/we/they|Object nouns; receptive recognition of eats/drinks with named subjects; capital I and final full stop|I eat rice.|I rice eat.|Place the finite verb after the subject in this simple statement. Rice is the object.
1|2|Be: am/is/are in affirmative descriptions|Singular noun phrases; adjective before noun|The room is small.|The room are small.|The singular subject room takes is. The adjective follows be here.
1|3|Present simple third-person singular|He/she/they; subject reference across two sentences|My sister works here.|My sister work here.|A third-person singular subject normally takes the present-simple -s form.
1|4|Imperatives and basic instruction verbs|A/an with a singular count noun|Write an answer.|Write a answer.|Use an before the vowel sound at the start of answer.
1|5|Present simple negatives with do/does|Base verb after an auxiliary|He does not work on Sunday.|He does not works on Sunday.|Does carries the third-person marking, so use the base form work.
1|6|Where questions with be|In/on/at and basic location phrases|Where is the station?|Where the station is?|In a direct question with be, put be before the subject.
1|7|Have/has for states and common expressions|Subject pronouns and possessive determiners|She has a cold.|She have a cold.|The third-person singular form of have is has.
1|8|There is/there are|Singular/plural agreement with ordinary count nouns|There are two trees.|There is two trees.|Use are with the plural noun phrase two trees.
1|9|Can/cannot + base verb|Simple ability and permission; direct yes/no questions|I can use this app.|I can to use this app.|A modal is followed by the base verb without to.
1|10|Like/love + noun or -ing form|And/but to connect short complete ideas|I like swimming, but I do not like running.|I like swim.|Use a noun or an -ing form after like in this introductory pattern.
2|1|Count and mass nouns with some/any|How much/how many; containers and quantities|How much rice do we need?|How many rice do we need?|Rice is a mass noun in this context; ask how much, or count bags or bowls.
2|2|Possessive determiners and possessive 's|This/that/these/those with number agreement|These rooms are ours.|This rooms are ours.|Use these with a plural noun that is near the speaker.
2|3|Frequency adverbs with present simple|Position before main verbs and after be|She usually walks to work.|She walks usually to work.|The neutral position of usually is before the main verb in this sentence.
2|4|Do/does questions and wh-questions|Object questions versus basic subject questions|What does this word mean?|What does this word means?|Use the base form after does.
2|5|Present continuous for actions happening now|Be + -ing; contrast routine and current action|They are working now.|They working now.|The present continuous requires a form of be before the -ing verb.
2|6|Be going to for a stated plan|Future time phrases without unnecessary prepositions|We are going to travel next week.|We going to travel next week.|Include are before going to with the subject we.
2|7|Should/should not for ordinary advice|Imperative versus recommendation; non-medical practice contexts|You should ask for advice.|You should to ask for advice.|Use the base form directly after should.
